"Date","Price","Open","High","Low","Vol.","Change %"
"04/27/2022","324.35","324.35","324.35","324.35","","-0.09%"
"04/26/2022","324.65","324.65","324.65","324.65","","-0.26%"
"04/25/2022","325.50","325.50","325.50","325.50","","-0.38%"
"04/22/2022","326.75","326.75","326.75","326.75","","0.05%"
"04/21/2022","326.60","326.60","326.60","326.60","","-0.32%"
"04/20/2022","327.65","327.65","327.65","327.65","","1.64%"
"04/19/2022","322.35","322.35","322.35","322.35","","0.31%"
"04/18/2022","321.35","321.35","321.35","321.35","","0.00%"
"04/14/2022","321.35","321.35","321.35","321.35","","0.00%"
"04/13/2022","321.35","321.35","321.35","321.35","","0.53%"
"04/12/2022","319.65","319.65","319.65","319.65","0.01K","6.55%"
"04/11/2022","300.00","300.00","300.00","300.00","","2.51%"
"04/08/2022","292.65","292.65","292.65","292.65","","3.63%"
"04/07/2022","282.40","282.40","282.40","282.40","0.01K","-3.07%"
"04/06/2022","291.35","291.35","291.35","291.35","0.05K","-1.02%"
"04/05/2022","294.35","294.35","294.35","294.35","0.02K","11.64%"
"04/04/2022","263.65","263.65","263.65","263.65","0.01K","-0.51%"
"04/01/2022","265.00","265.00","265.00","265.00","","-3.05%"
"03/31/2022","273.35","273.35","273.35","273.35","0.01K","0.68%"
"03/30/2022","271.50","271.50","271.50","271.50","0.01K","1.12%"
"03/29/2022","268.50","268.50","268.50","268.50","0.06K","-0.56%"
"03/28/2022","270.00","270.00","270.00","270.00","0.05K","-16.99%"
"03/25/2022","325.25","325.25","325.25","325.25","","0.08%"
"03/24/2022","325.00","325.00","325.00","325.00","","-0.31%"
"03/23/2022","326.00","326.00","326.00","326.00","","0.93%"
"03/22/2022","323.00","323.00","323.00","323.00","","2.54%"
"03/21/2022","315.00","315.00","315.00","315.00","","-4.55%"
"03/18/2022","330.00","330.00","330.00","330.00","","6.45%"
"03/17/2022","310.00","310.00","310.00","310.00","","0.00%"
"03/16/2022","310.00","310.00","310.00","310.00","","-9.09%"
"03/15/2022","341.00","341.00","341.00","341.00","","-4.21%"
"03/14/2022","356.00","356.00","356.00","356.00","","-1.79%"
"03/11/2022","362.50","362.50","362.50","362.50","","-0.23%"
"03/10/2022","363.35","363.35","363.35","363.35","0.02K","-11.92%"
"03/09/2022","412.50","412.50","412.50","412.50","0.01K","-5.90%"
"03/08/2022","438.35","438.35","438.35","438.35","0.12K","5.37%"
"03/07/2022","416.00","416.00","416.00","416.00","","-4.00%"
"03/04/2022","433.35","433.35","433.35","433.35","0.01K","22.94%"
"03/03/2022","352.50","395.00","395.00","395.00","0.01K","-19.15%"
"03/02/2022","436.00","436.00","436.00","436.00","0.08K","35.83%"
"03/01/2022","321.00","321.00","321.00","321.00","","26.06%"
"02/28/2022","254.65","254.65","254.65","254.65","0.04K","30.93%"
"02/25/2022","194.50","194.50","194.50","194.50","","1.30%"
"02/24/2022","192.00","192.00","192.00","192.00","","0.66%"
"02/23/2022","190.75","190.75","190.75","190.75","0.01K","0.93%"
"02/22/2022","189.00","189.00","189.00","189.00","0.06K","2.16%"
"02/18/2022","185.00","185.00","185.00","185.00","","0.54%"
"02/17/2022","184.00","184.00","184.00","184.00","","0.19%"
"02/16/2022","183.65","183.65","183.65","183.65","","-1.66%"
"02/15/2022","186.75","186.75","186.75","186.75","","-2.48%"
"02/14/2022","191.50","191.50","191.50","191.50","0.01K","1.06%"
"02/11/2022","189.50","189.50","189.50","189.50","","0.80%"
"02/10/2022","188.00","188.00","188.00","188.00","","0.27%"
"02/09/2022","187.50","187.50","187.50","187.50","0.01K","0.81%"
"02/08/2022","186.00","186.00","186.00","186.00","","2.11%"
"02/07/2022","182.15","182.15","182.15","182.15","","-0.46%"
"02/04/2022","183.00","183.00","183.00","183.00","","3.01%"
"02/03/2022","177.65","177.65","177.65","177.65","","0.14%"
"02/02/2022","177.40","177.40","177.40","177.40","","1.66%"
"02/01/2022","174.50","174.50","174.50","174.50","","-2.10%"
"01/31/2022","178.25","178.25","178.25","178.25","0.02K","6.61%"
"01/28/2022","167.20","167.20","167.20","167.20","","0.94%"
"01/27/2022","165.65","165.65","165.65","165.65","","-0.03%"
"01/26/2022","165.70","165.70","165.70","165.70","0.05K","0.88%"
"01/25/2022","164.25","164.25","164.25","164.25","0.06K","0.55%"
"01/24/2022","163.35","163.35","163.35","163.35","0.04K","0.83%"
"01/21/2022","162.00","162.00","162.00","162.00","0.05K","1.25%"
"01/20/2022","160.00","160.00","160.00","160.00","0.03K","-1.08%"
"01/19/2022","161.75","161.75","161.75","161.75","0.00K","-0.15%"
"01/18/2022","162.00","162.00","162.00","162.00","0.10K","4.96%"
"01/14/2022","154.35","154.35","154.35","154.35","0.05K","3.87%"
"01/13/2022","148.60","148.60","148.60","148.60","0.03K","6.91%"
"01/12/2022","139.00","139.00","139.00","139.00","","2.96%"
"01/11/2022","135.00","135.00","135.00","135.00","0.00K","-2.70%"
"01/10/2022","138.75","138.75","138.75","138.75","0.01K","0.18%"
"01/07/2022","138.50","138.50","138.50","138.50","0.01K","-3.25%"
"01/06/2022","143.15","143.15","143.15","143.15","0.06K","4.18%"
"01/05/2022","137.40","137.40","137.40","137.40","0.00K","5.65%"
"01/04/2022","130.05","130.05","130.05","130.05","0.02K","9.29%"
"01/03/2022","119.00","119.00","119.00","119.00","","-12.98%"
"12/31/2021","136.75","136.75","136.75","136.75","","-1.26%"
"12/30/2021","138.50","138.50","138.50","138.50","","-0.18%"
"12/29/2021","138.75","138.75","138.75","138.75","","-2.97%"
"12/28/2021","143.00","143.00","143.00","143.00","","-0.35%"
"12/27/2021","143.50","143.50","143.50","143.50","","0.00%"
"12/23/2021","143.50","143.50","143.50","143.50","","-2.61%"
"12/22/2021","147.35","147.35","147.35","147.35","","-0.03%"
"12/21/2021","147.40","147.40","147.40","147.40","0.01K","-0.91%"
"12/20/2021","148.75","148.75","148.75","148.75","","1.88%"
"12/17/2021","146.00","146.00","146.00","146.00","","-0.85%"
"12/16/2021","147.25","147.25","147.25","147.25","","4.06%"
"12/15/2021","141.50","141.50","141.50","141.50","","0.35%"
"12/14/2021","141.00","141.00","141.00","141.00","","2.69%"
"12/13/2021","137.30","137.30","137.30","137.30","","1.18%"
"12/10/2021","135.70","135.70","135.70","135.70","0.01K","0.59%"
"12/09/2021","134.90","134.90","134.90","134.90","0.02K","0.30%"
"12/08/2021","134.50","134.50","134.50","134.50","0.01K","4.22%"
"12/07/2021","129.05","129.05","129.05","129.05","","5.78%"
"12/06/2021","122.00","122.00","122.00","122.00","","0.83%"
"12/03/2021","121.00","121.00","121.00","121.00","0.01K","-2.62%"
"12/02/2021","124.25","124.25","124.25","124.25","0.03K","-0.72%"
"12/01/2021","125.15","125.15","125.15","125.15","0.06K","11.99%"
"11/30/2021","111.75","111.00","111.00","111.00","0.04K","-8.06%"
"11/29/2021","121.55","121.55","121.55","121.55","0.03K","-16.06%"
"11/26/2021","144.80","144.80","144.80","144.80","0.04K","-3.08%"
"11/24/2021","149.40","149.40","149.40","149.40","","-0.40%"
"11/23/2021","150.00","150.00","150.00","150.00","0.13K","2.49%"
"11/22/2021","146.35","146.35","146.35","146.35","0.07K","0.76%"
"11/19/2021","145.25","145.25","145.25","145.25","0.01K","0.35%"
"11/18/2021","144.75","144.75","144.75","144.75","0.01K","1.58%"
"11/17/2021","142.50","142.50","142.50","142.50","","0.56%"
"11/16/2021","141.70","141.70","141.70","141.70","0.06K","1.58%"
"11/15/2021","139.50","139.50","139.50","139.50","","0.00%"
"11/12/2021","139.50","139.50","139.50","139.50","","-1.41%"
"11/11/2021","141.50","141.50","141.50","141.50","","-0.70%"
"11/10/2021","142.50","142.50","142.50","142.50","","-6.25%"
"11/09/2021","152.00","152.00","152.00","152.00","","-3.80%"
"11/08/2021","158.00","158.00","158.00","158.00","","6.76%"
"11/05/2021","148.00","148.00","148.00","148.00","","0.00%"
"11/04/2021","148.00","148.00","148.00","148.00","","-1.00%"
